epoch,accuracy,loss,val_accuracy,val_loss
0,0.6937896609306335,0.5288043022155762,0.7621832489967346,0.4364599287509918
1,0.7882015109062195,0.39452099800109863,0.7764782309532166,0.41220012307167053
2,0.8360655903816223,0.33778926730155945,0.8921377658843994,0.2708817422389984
3,0.8860835433006287,0.26731178164482117,0.9083820581436157,0.24738340079784393
4,0.9198276996612549,0.20469167828559875,0.9275503754615784,0.18605417013168335
5,0.9395716190338135,0.16626514494419098,0.9480181932449341,0.1646706759929657
6,0.9501017332077026,0.14392445981502533,0.9538661241531372,0.15032875537872314
7,0.9576402902603149,0.12708869576454163,0.9580896496772766,0.13934096693992615
8,0.9627856612205505,0.11847756803035736,0.9538661241531372,0.15781939029693604
9,0.9635036587715149,0.11360815167427063,0.9548407793045044,0.17632949352264404
